tweet
Family of 5-year-old boy crushed in rotating Atlanta restaurant files lawsuit\nhttps://t.co/yP6akgK1dg'
Georgia Dome set for implosion\nhttps://t.co/CYFljihldG'
"Thanksgiving travel: 51 million Americans expected to hit the road, AAA says\nhttps://t.co/fZyyEKZ5Ej'"
Hartsville family held at gunpoint in home invasion\nhttps://t.co/HPsNJXlOF6'
Security guard charged with criminal homicide\nhttps://t.co/1kYAw2t5m7'
Man arrested after 2 suffer drug overdoses\nhttps://t.co/igxJkl3CRG'
Puerto Rico energy leader resigns\nhttps://t.co/fX0AMEaipY'
TRAFFIC ALERT:\nInterstate shut down due to crash at I-40 EB at MM 213a near I-24 split. Seek alternate route. https://t.co/KCai7b1Ngo'
RT @SarahMReports: I spoke with residents who saw damage to their homes for the first time this morning. Story at 10 on @NC5. https://t.co/\xe2\x80\xa6'
RT @NC5_LelanStatom: #Breaking: @NWSNashville confirms EF-1 tornado in Joelton with winds at 105mph. #tnwx'
Country Legend Mel Tillis passes away: https://t.co/EyXwUUfsTe https://t.co/SYiwQL8Jus'
"RT @NC5_NickBeres: BREAKING: Twister confirmed to hit Gladeville, TN.  For live video go to Nick Beres NC5 on Facebook.\n#nc5 https://t.co/Y\xe2\x80\xa6'"
BREAKING: https://t.co/3GAFpwT7Aw'
RT @NC5_HMathis: Have you seen this video of a flag pole coming down in LaVergne during last nights storms? Courtesy of viewer Jacob Bogle.\xe2\x80\xa6'
RT @SophieNC5: I compiled some of my storm damage video from this morning in Joelton. You can watch it on my FB page: https://t.co/p6vFaqww\xe2\x80\xa6'
RT @SophieNC5: Mangled trampoline. Gerald Drive. https://t.co/DA2hrUTSAM'
RT @SophieNC5: I made a video to walk you through some of the damage at just one of the homes in Joelton. Margie Drive. https://t.co/cYPutH\xe2\x80\xa6'
RT @NC5_HMathis: What a difference a day makes! We are 20 degrees cooler this morning than this time Saturday. Big drop in temps after powe\xe2\x80\xa6'
RT @SophieNC5: First light shows roof damage to one home on Margie Drive. See it live at 6:30 on @NC5 https://t.co/vEX9C4skkd https://t.co/\xe2\x80\xa6'
"RT @SophieNC5: Tough to see but looks like a tree may have fallen on, or just in front of this home on Margie Drive in Joelton. https://t.c\xe2\x80\xa6'"
"RT @SophieNC5: This is on Gerald Drive in Joelton. It\xe2\x80\x99s too dark to see roofs now, so there may be more damage visible once the sun comes u\xe2\x80\xa6'"
RT @SophieNC5: Seeing a lot of downed trees in Joelton after last night\xe2\x80\x99s storm. This is on Margie Drive. https://t.co/GBfEUF9e3t'
NASA offers unique look at 2017 hurricane season\nhttps://t.co/ePpmr44lta'
17-year-old shields little sister from storm debris\nhttps://t.co/wnx7s5nHvO'
"RT @NC5_AKoehn: \xe2\x80\x9cWe were just praying that we\xe2\x80\x99d be saved.\xe2\x80\x9d Tonight at 10, a teen recalls the terrifying moment after a storm ripped through\xe2\x80\xa6'"
RT @NESpower: STORM UPDATE: We have a lot of damage in the Joelton area as well as hundreds of individual outages scattered across our serv\xe2\x80\xa6'
RT @NC5_BMarshall: Storms damaged the siding of the Glade Church in Mt. Juliet. A glass door shattered here. I\xe2\x80\x99m told there will not be ser\xe2\x80\xa6'
RT @NC5_BMarshall: Pastor Mark Marshall of The Glade Church shows me how part of a cross came through the roof during the storm. @NC5 Clean\xe2\x80\xa6'
Damage reported after massive storm system moves through Middle Tennessee\nhttps://t.co/4aofQL10hS'
RT @NC5_BMarshall: This man didn\xe2\x80\x99t even bat an eye when he saw trees blocking the road in Wilson County. He sprang into action to help fire\xe2\x80\xa6'
RT @NC5_BMarshall: Happening now in the Edgehill community! @NashvilleMDHA https://t.co/3YXj7FYf49'
TRAFFIC ALERT:\nDickerson Pike is closed between Richardson Ave. and Douglas Ave. due to down pole. Seek alternate route.'
"RT @NESpower: STORM UPDATE: Severe weather has moved through the area resulting in 6,000 customers w/o power. Crews will be working through\xe2\x80\xa6'"
RT @NC5_BreeSmith: Line of storms well East of Nashville- but winds are still gusting to nearly 50mph behind the line of storms- additional\xe2\x80\xa6'
RT @HenryRothenberg: #STORM5ALERT Severe Thunderstorm Warning for Franklin County in TN until 7:00pm CST. @NC5 https://t.co/VpHrn9TgXA #TNWX'
RT @NC5_LelanStatom: The line of storms is now in our eastern counties. #tnwx #kywx #STORM5ALERT https://t.co/d2VFPbWMPr'
PROGRAM NOTE:\nWe are running a few minutes behind due to football wrap-up coverage. We will be live with storm upda\xe2\x80\xa6 https://t.co/OTEO91Mf2f'
"RT @NC5_AKoehn: #breaking 2 barns are leveled, a roof was taken off a home, and a tree is on another home off Gary road in Joelton. I\xe2\x80\x99m liv\xe2\x80\xa6'"
"RT @NC5_LelanStatom: Severe Thunderstorm Warning for Clay, DeKalb, Jackson, Overton and Pickett County in TN until 6:30pm. @NC5 https://t.c\xe2\x80\xa6'"
"RT @NC5_KDavis: Nashville's youngest residents are expressing their concerns to Metro leaders, &amp; they didn't hold back. I'll have the story\xe2\x80\xa6"""
RT @NC5_BreeSmith: Rotation (red/green) tightening up north of Woodbury #tnwx @nc5 https://t.co/XyasctZoA2'
"Power outages reported all over the viewing area. To check your local outage map, click here:\nhttps://t.co/SrYN7sjMI7'"
"Almost 6,000 NES customers without power. Multiple crews reporting to outages. https://t.co/5q7OCXEcjH'"
RT @HenryRothenberg: #STORM5ALERT Severe Thunderstorm Warning for Allen and Monroe County in KY until 5:30pm CST. @NC5 https://t.co/VpHrn9T\xe2\x80\xa6'
RT @HenryRothenberg: #STORM5ALERT Severe Thunderstorm Warning for Trousdale and Wilson County in TN until 5:45pm CST. @NC5 https://t.co/VpH\xe2\x80\xa6'
RT @NC5_BreeSmith: Tornado warning until 5:30pm.... radar\xe2\x80\x94&gt; https://t.co/viCO9Iz83H'
RT @NC5_AKoehn: Heavy winds gusts are hitting Nashville right now. Take cover from flying debris. Get inside. @NC5 https://t.co/kxOXhnHHQH'
RT @NC5_AKoehn: BREAKING: Tornado sirens are going off by Vanderbilt University @NC5 https://t.co/7x9owHNeYR'
"RT @NC5_LelanStatom: Tornado Warning for Davidson, Rutherford, and Wilson County in TN until 5:30pm. @NC5 https://t.co/RK6khbMn9E #tnwx'"
